"abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal",14,"0,99","0,23","0,12","0,00","2,82","1,51","0,00",128,"0,00",,,
"abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, s/ sal, curcubita pepo l.",14,"0,99","0,23","0,12","0,00","2,82","1,51","0,00","0,79","0,00",,,
"abobrinha, italiana, c/ casca, crua, cucurbita pepo l.",17,"1,01","0,12","0,03","0,00","3,71","1,28","0,00",tr,"0,00",,,
"abobrinha, italiana, c/ casca, grelhada, s/ óleo, c/ sal",27,"1,56","0,19","0,05","0,00","5,76","1,99","0,00",187,"0,00",,,
"abobrinha, italiana, c/ casca, grelhada, s/ óleo, s/ sal, cucurbita pepo",27,"1,57","0,19","0,05","0,00","5,79","2,00","0,00",tr,"0,00",,,
"abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal",26,"1,07","0,82","0,13","0,00","4,19","1,38","0,00",130,"0,00",,,
"abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), s/ sal, curcubita pepo l.",26,"1,07","0,82","0,13","0,00","4,19","1,38","0,00","2,21","0,00",,,
"abricó (damasco), in natura, mammea americana",57,"0,30","1,00","0,28","0,00","13,5","3,50","0,00","1,76","0,00",,,
"açafrão, pistilo, in natura, crocus sativus",352,"11,4","5,85","1,59","0,00","65,4","3,90","0,00",148,"0,00",,,
"açaí, polpa (média de amostras), euterpe oleracea mart.",68,"0,90","5,01","1,01",na,"7,66","5,89","0,00","1,69","0,00",,,
"açaí, polpa, c/ xarope de guaraná, c/ cupuaçu, polpa",101,"0,75","2,89","0,60","0,00","18,9","1,69",na,"11,5","0,00",,,
"açaí, polpa, c/ xarope de guaraná, glucose, c/ granola caseira, (aveia em flocos, flocos de milho, semente de chia e linhaça, coco, mel, oleagionosas - noz, castanha de caju e brasil, amêndoa e avelã, damasco seco, uva passa, c/ óleo de milho, c/ canela)",177,"2,71","5,94","1,14","0,00","29,6","2,94",na,"37,3","0,00",,,
"açaí, polpa, com xarope de guaraná e glucose",118,"0,72","3,66","0,70",na,"21,5","1,72",na,"15,1","0,00",,,
"açaí, solteiro, polpa",57,"0,78","4,58","0,72",na,"5,62","4,91",na,"2,97","0,00",,,
"acarajé, c/ sal, (feijão fradinho, camarão seco, pimenta malagueta, frito, c/ azeite de dendê, cebola, c/ sal)",270,"8,31","19,8","9,06",na,"19,0","9,32",na,483,"25,3",,,
"acarajé, s/ sal, (feijão fradinho, camarão seco, pimenta malagueta, frito, c/ azeite de dendê, cebola,  s/ sal)",271,"8,35","19,9","9,10",na,"19,1","9,36","0,00",304,"25,5",,,
"acelga, cozida, drenada, s/ óleo, c/ sal",22,"1,47","0,11","0,02","0,00","4,07","1,14","0,00",128,"0,00",,,
"acelga, cozida, drenada, s/ óleo, s/ sal",22,"1,47","0,11","0,02","0,00","4,39","1,14","0,00","0,90","0,00",,,
"acelga, crua",23,"1,44","0,11","0,02","0,00","4,63","1,12","0,00","1,18","0,00",,,
"acelga, refogada (c/ óleo, cebola e alho), c/ sal",35,"1,60","1,31","0,20","0,00","4,73","1,26","0,00",129,"0,00",,,
"acelga, refogada, (c/ óleo, cebola e alho), s/ sal",36,"1,60","1,31","0,20","0,00","5,05","1,26","0,00","1,28","0,00",,,
"acerola, madura, polpa, malpighia spp.",30,"0,71","0,38","0,09","0,00","6,89","1,75","0,00","0,67","0,00",,,
"achocolatado,  ""ovomaltine"", ovomaltine",373,"0,00","0,00","0,00","0,00","93,3","0,00",na,636,"0,00",,,
"achocolatado, em pó, nescau",390,"5,00","3,00","1,52","0,01","88,2","5,00",na,"64,3",tr,,,
"achocolatado, em pó, toddy",398,"3,00","1,92","0,97","0,01","93,3","2,45",na,"65,2",tr,,,
"achocolatado, em pó (média diferentes amostras)",397,"4,07","2,89","1,47","0,01","91,6","5,96",na,"65,1","0,00",,,
"achocolatado, em pó, sem adição de açúcar",362,"15,5","3,00","1,78",na,"71,9","7,50","0,00",876,"0,00",,,
açúcar (média de diferentes tipos),395,"0,35","0,02","0,00",na,"98,3",na,"100,0","12,5","0,00",,,
"açúcar, cristal",400,"0,32",tr,"0,00","0,00","99,6","0,00","100,0",tr,"0,00",,,
"açúcar, light (20% sacarose + edulcorante)",80,"0,03",tr,"0,00","0,00","19,9","0,00","0,00","2,44","0,00",,,
"açúcar, light (50% sacarose ou maltodextrina + edulcorante)",198,"0,08",tr,"0,00","0,00","49,4","0,00","0,00","6,20","0,00",,,
"açúcar, mascavo",382,"0,76","0,09","0,00","0,00","94,4","0,00","100,0","25,2","0,00",,,
"açúcar, refinado (média de diferentes amostras)",397,"0,16",tr,"0,00","0,00","99,0","0,00","100,0","12,2","0,00",,,
"adoçante, aspartame, em pó",365,"2,17","0,00","0,00","0,00","89,1","0,00",na,"0,00","0,00",,,
"adoçante, sacarina, em pó",360,"0,00","0,00","0,00","0,00","90,1","0,00","0,00",428,"0,00",,,
"adoçante, sucralose, em pó",365,"0,00","0,00","0,00","0,00","91,2","0,00","0,00","0,00","0,00",,,
"agrião, cozido, drenado, c/ óleo de soja, c/ sal",47,"3,54","2,88","0,50","0,00","2,88","2,22","0,00",136,"0,00",,,
"agrião, cozido, drenado, c/ óleo de soja, s/ sal",47,"3,55","2,89","0,50","0,00","2,89","2,23","0,00","9,03","0,00",,,
"agrião, cozido, drenado, s/ óleo, c/ sal",26,"3,63","0,51","0,14","0,00","2,95","2,27","0,00",137,"0,00",,,
"agrião, cozido, drenado, s/ óleo, s/ sal, nasturtium officinale",27,"3,64","0,52","0,14","0,00","2,96","2,28","0,00","9,26","0,00",,,
"agrião, cru, nasturtium officinale",23,"3,17","0,45","0,12","0,00","2,58","1,98","0,00","10,7","0,00",,,
"aipo (salsão), cozido, drenado, s/ óleo, c/ sal",19,"0,83","0,08","0,02","0,00","4,38","1,05","0,00",135,"0,00",,,
"aipo (salsão), cozido, drenado, s/ óleo, s/ sal, apium graveolens",21,"0,83","0,08","0,02","0,00","4,70","1,05","0,00","7,85","0,00",,,
"aipo (salsão), cru, apium graveolens l.",19,"0,76","0,07","0,02","0,00","4,27","0,96","0,00","9,52","0,00",,,
"aipo (salsão), refogado (c/ óleo, cebola e alho), c/ sal",42,"1,33","1,32","0,21","0,00","7,05","1,62","0,00",142,"0,00",,,
"aipo (salsão), refogado (c/ óleo, cebola e alho), s/ sal",43,"1,33","1,32","0,21","0,00","7,37","1,62","0,00","14,8","0,00",,,
"alcachofra, assada, c/ azeite de oliva, pimenta do reino, c/ sal",80,"3,47","3,64","0,56","0,00","11,3","5,75","0,32",227,"0,00",,,
"alcachofra, assada, s/ óleo, c/ sal",50,"3,59","0,16","0,04","0,00","11,6","5,92","0,32",230,"0,00",,,
"alcachofra, cozida, drenada, s/ óleo, c/ sal, cynara scolymus",51,"2,88","0,34","0,08","0,00","11,9","5,68","0,00",187,"0,00",,,
