"Abacate, polpa, in natura, Persea americana Mill",76,"1,15","6,21","1,70","0,00","5,84","4,03",0,tr,"0,00","0,00"
"Abacate, polpa, in natura, Persea americana Mill",76,"1,15","6,21","1,70","0,00","5,84","4,03",0,tr,"0,00","0,00"
"Abacate, polpa, in natura, Persea americana Mill",76,"1,15","6,21","1,70","0,00","5,84","4,03",0,tr,"0,00","0,00"
"Abacaxi, cozido, caramelado",136,"0,60","0,26","0,02","0,00","33,3","0,84",0,"5,24","0,00","25,0"
"Abacaxi, grelhado, c/ cobertura de chocolate",148,"1,69","6,43","3,58","0,05","21,3","1,10",0,"15,9","3,36","0,00"
"Abacaxi, polpa, congelada, Ananas comosus L.",33,"0,47","0,11","0,01","0,00","7,80","0,33",0,"1,24","0,00","0,00"
"Abacaxi, polpa, desidratada, Ananas comosus",279,"3,80","1,86","0,13","0,00","64,9","6,24",0,"15,9","0,00","0,00"
"Abacaxi, polpa, grelhado, c/ canela",51,"0,70","0,34","0,02","0,00","12,0","1,38",0,"2,88","0,00","0,00"
"Abacaxi, polpa, in natura, Ananas comosus L.",50,"0,68","0,33","0,02","0,00","11,6","1,12",0,"2,84","0,00","0,00"
"Abiu, in natura, Lucuma caimito (Ruiz & Pav.) Roem & Schult",66,"0,83","0,70","0,30","0,00","14,9","1,70",0,tr,"0,00","0,00"
"Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal",48,"1,51","1,61","0,25","0,01","8,22","2,79",0,188,"0,00","0,00"
"Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal, Cucurbita maxima x Cucurbita moschata",50,"1,44","0,73","0,10","0,00","10,8","2,46",0,"1,45","0,00","0,00"
"Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua, Cucurbita maxima x Cucurbita moschata",41,"1,75","0,54","0,12","0,00","8,36","2,17",0,tr,"0,00","0,00"
"Abóbora, menina brasileira, s/ casca, s/ sementes, crua, Cucurbita moschata",13,"0,61",tr,tr,"0,00","3,34","1,17",0,tr,"0,00","0,00"
"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal",30,"0,39","0,80","0,12","0,00","5,98","1,55",0,130,"0,00","0,00"
"Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal, Cucurbita maxima",30,"0,39","0,80","0,12","0,00","5,98","1,55",0,"3,03","0,00","0,00"
"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal, Curcubita spp.",32,"1,38","1,33","0,21","0,00","4,78","2,50",0,280,"0,00","0,00"
"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, s/ sal, Curcubita spp.",33,"1,42","1,34","0,22","0,00","5,00","2,58",0,"93,1","0,00","0,00"
"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal",26,"1,80","0,21","0,05","0,00","5,92","3,59",0,127,"0,00","0,00"
"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal",26,"1,81","0,21","0,05","0,00","5,93","3,60",0,tr,"0,00","0,00"
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal",38,"1,18","2,52","0,39","0,01","3,89","2,36",0,127,"0,00","0,00"
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal",38,"1,19","2,53","0,39","0,00","3,90","2,36",0,tr,"0,00","0,00"
