"Leite, magro, 1% de gordura, fortificado com proteina, com vit. A e D",48,3.93,1.17,5.52,0,4
"Leite, magro, com vit. A e D (desnatado)",34,3.37,0.08,4.96,0,2
"Leite, desnatado, reconstituido sem gordura com  vit. A e D (desnatado)",37,3.57,0.25,5.02,0,2
"Leite, desnatado, fortificado com proteina, com vit. A e D (desnatado)",41,3.96,0.25,5.56,0,2
"Leite, leitelho, fluido, fermentado, magro",40,3.31,0.88,4.79,0,4
"Leite, hipossodico, fluido",61,3.1,3.46,4.46,0,14
"Leite, em po, integral com vit. D",496,26.32,26.71,38.42,0,97
"Leite, em  po, desnatado",362,36.16,0.77,51.98,0,20
"Leite, em po, desnatado, instantaneo, com vit A",358,35.1,0.72,52.19,0,18
"Leite, em po, desnatado, calcio reduzido",354,35.5,0.2,51.8,0,2
"Leite, leitelho, po",387,34.3,5.78,49,0,69
"Leite, enlatado, condensado, com acucar",321,7.91,8.7,54.4,0,34
"Leite, enlatado, evaporado, com vit D",134,6.81,7.56,10.04,0,29
"Leite, enlatado, evaporado, sem gordura, com vit. A e D",78,7.55,0.2,11.35,0,4
"Leite, integral, achocolatado, fluido, varejo, com vit. A e D",83,3.17,3.39,10.34,0.8,12
"Leite, achocolatado, fluido, varejo, semi-desnatado",76,2.99,1.9,12.13,0.7,8
"Leite, achocolatado, fluido, varejo, pouca gordura",71,3.24,1,12.6,0.5,3
"Leite, chocolate, chocolate quente, caseiro",77,3.52,2.34,10.74,1,8
"Leite, cabra, fluido",69,3.56,4.14,4.45,0,11
"Leite, humano, maduro, fluido",70,1.03,4.38,6.89,0,14
"Leite, bufalo indiano, fluido",97,3.75,6.89,5.18,0,19
"Leite, ovelha, fluido",108,5.98,7,5.36,0,27
"Milk-shake, chocolate denso",119,3.05,2.7,21.15,0.3,11
"Milk-shake, baunilha denso",112,3.86,3.03,17.75,0,12
"Soro do leite, acido, fluido",24,0.76,0.09,5.12,0,1
"Soro do leite, acido, po",339,11.73,0.54,73.45,0,3
"Soro do leite, doce, fluido",27,0.85,0.36,5.14,0,2
"Soro do leite, doce, po",353,12.93,1.07,74.46,0,6
"Iogurte, natural, leite integral, 8 g proteina por 237 ml",61,3.47,3.25,4.66,0,13
"Iogurte, natural, semi-desnatado, 12 g proteina por 237 ml",63,5.25,1.55,7.04,0,6
"Iogurte, natural, desnatado, 13 g prot por 237 ml",56,5.73,0.18,7.68,0,2
"Iogurte, baunilha, semi-desnatado, 11 g proteina por 237ml",85,4.93,1.25,13.8,0,5
"Iogurte, fruta, semi-desnatado, 9 g proteina por 237 ml",99,3.98,1.15,18.64,0,5
"Iogurte, fruta, semi-desnatado, 10g proteina por 237 ml",102,4.37,1.08,19.05,0,4
"Iogurte, fruta, semi-desnatado, 11 g proteina por 237 ml",105,4.86,1.41,18.6,0,6
"Ovo, galinha, inteiro, cru, fresco",143,12.56,9.51,0.72,0,372
"Ovo, galinha, clara, crua, fresco",52,10.9,0.17,0.73,0,0
"Ovo, galinha, gema, crua, fresco",322,15.86,26.54,3.59,0,1085
"Ovo, galinha, gema, crua, congelada, pasteurizada",299,15.33,25.24,1.3,0,991
"Ovo, galinha, gema, crua, congelada, adocicada, pasteurizada",307,13.87,22.82,10.95,0,917
"Ovo, galinha, inteiro, cozido, frito",196,13.61,14.84,0.83,0,401
"Ovo, galinha, inteiro, cozido, bem fervido",155,12.58,10.61,1.12,0,373
"Ovo, galinha, inteiro, cozido, omelete",154,10.57,11.66,0.64,0,313
"Ovo, galinha, inteiro, cozido, a poche",143,12.51,9.47,0.71,0,370
"Ovo, galinha, inteiro, cozido, mexido",149,9.99,10.98,1.61,0,277
"Ovo, galinha, inteiro, desidratado",605,48.37,43.04,1.53,0,1630
"Ovo, galinha, inteiro, desidratado, estabilizado, baixa glicose",615,48.17,43.95,2.38,0,2017
"Ovo, galinha, clara, desidratada, flocos, baixa glicose",351,76.92,0.04,4.17,0,0
"Ovo, galinha, clara, desidratada, po, baixa glicose",376,82.4,0.04,4.47,0,0
"Ovo, galinha, gema, desidratada",679,33.73,58.13,2.1,0,2307
"Ovo, pato, inteiro, fresco, cru",185,12.81,13.77,1.45,0,884
"Ovo, ganso, inteiro, fresco, cru",185,13.87,13.27,1.35,0,852
"Ovo, codorna, inteiro, fresco, cru",158,13.05,11.09,0.41,0,844
"Ovo, peru, inteiro, fresco, cru",171,13.68,11.88,1.15,0,933
"Substituto de ovo, po",444,55.5,13,21.8,0,572
"Manteiga, sem sal",717,0.85,81.11,0.06,0,215
"Queijo, parmesao, ralado",415,37.86,27.34,3.41,0,72
"Leite, sem gordura, fluido, sem vit A (desnatado)",34,3.37,0.08,4.96,0,2
"Leite, semi-desnatado, fluido, 2% gordura, reconstituido sem gordura, sem vit A",56,3.95,1.98,5.49,0,8
"Leite, lata, evaporado, com vit A",134,6.81,7.56,10.04,0,29
"Leite, po, sem gordura, com vit A",362,36.16,0.77,51.98,0,20
"Leite, po, sem gordura, instantaneo, sem vit A",358,35.1,0.72,52.19,0,18
"Queijo, cabra, tipo duro",452,30.52,35.59,2.17,0,105
"Queijo, cabra, tipo semi-macio",364,21.58,29.84,0.12,0,79
"Queijo, cabra, tipo macio",268,18.52,21.08,0,0,46
"Ovo, galinha, gema, cru, congelado, salgado",275,14.07,22.93,1.77,0,912
"Substituto de queijo, mozarela",248,11.47,12.22,23.67,0,0
"Molho de queijo, receita caseira",197,10.33,14.92,5.48,0.1,38
"Queijo, mexicano, queso anejo",373,21.44,29.98,4.63,0,105
"Queijo, mexicano, queso asadero",356,22.6,28.26,2.87,0,105
"Queijo, mexicano, queso chihuahua",374,21.56,29.68,5.56,0,105
"Queijo, semi-desnatado, cheddar ou colby",173,24.35,7,1.91,0,21
"Queijo, pobre em Na, cheddar ou colby",398,24.35,32.62,1.91,0,100
"Ovo, galinha, inteiro, cru, congelado",154,12.03,10.7,1.27,0,372
"Ovo, galinha, clara, crua, congelado",46,9.3,0.04,1.26,0,0
"Ovo, galinha, clara, desidratado",382,81.1,0,7.8,0,0
"Leite, 2% de gordura, liquido, sem adicao de vitaminas A e D",50,3.3,1.98,4.8,0,8
"Leite, 1% de gordura, liquido, sem adicao de vitaminas A e D",42,3.37,0.97,4.99,0,5
"Coalhada, menos gorduras",181,7,14.1,7,0,35
"Coalhada, light",136,3.5,10.6,7.1,0,35
"Coalhada, diet",74,3.1,0,15.6,0,9
"Queijo, cheddar, menos gordura, Commodity USDA",282,27.2,18.3,2,0,56
"Iogurte, Sabor baunilha ou limao, sem gordura, adocado com adocante de baixa caloria",43,3.86,0.18,7.5,0,2
"Queijo, parmessao, cobertura, sem gordura",370,40,5,40,0,20
"Queijo, ""cream cheese"", sem gordura",105,15.69,1,7.66,0,12
"Iogurte, sabor chocolate, sem gordura",112,3.53,0,23.53,1.2,1
Molho de queijo pasteurizado Kraft Cheez Whiz,276,12,21,9.2,0.3,75
"Queijo pasteurizado, light, Kraft Cheez Whiz",215,16.3,9.5,16.2,0.2,35
"Queijo, pasteurizado, sem gordura,Kraft Free Singles American",148,22.7,1,11.7,0.2,16
"Queijo processado, pasteurizado, Kraft Velveeta",303,16.3,22,9.8,0,80
"Queijo, pasteurrizado, baixo teor de gordura, Kraft Velveeta Light",222,19.6,10.6,11.8,0,42
"Coalhada, baixo teor de gordura, Kraft Breakstone's",152,4.5,12,6.5,0.1,50
"Coalhada, sem gordura, Kraft Breakstone's Free",91,4.7,1.3,15.1,0,9
"Creme, ""half and half"", sem gordura",59,2.6,1.4,9,0,5
"Cobertura cremosa, sem gordura, ""Reddi Wip""",149,3,5,25,0.4,16
"Achocolatado, liquido, menos gorduras, com adicao de calcio",78,2.99,1.9,12.13,0.7,8
"Iogurte, de fruta, menos gordura, com adocante de baixa caloria",105,4.86,1.41,18.6,0,6
"Queijo, parmesao, curado, menos gordura",265,20,20,1.37,0,88
"Substituto de creme, po",251,0.69,13.5,35.07,1.1,0
"Substituto de creme, po",482,0.68,21.47,75.42,1.2,0
"Queijo, provolone, menos gordura",274,24.7,17.6,3.5,0,55
"Queijo, mexicano, dessalgado, menos gordura",282,24.69,19.4,3.41,0,62
"Ovo mexido, Commodity USDA",555,35.6,34.5,23.97,975
"Leite, integral, 3,25% de gordura, sem adicao de vitamina A ou D",61,3.15,3.27,4.78,0,10
"Leite, em po, composto, sem adicao de vitamina D",496,26.32,26.71,38.42,0,97
"Leite, enlatado, desidratado, sem adicao de vitaminas A ou D",135,6.81,7.56,10.04,0,29
"Produto de queijo, pasteurizado, “American”, baixo teor de gordura, enriquecido com vitamina D",240,17.6,14.1,10.6,0,53
"Iogurte, de fruta, menos gordura, 9 gramas de proteina para cada 8 embalagems/ 226,8 gramas, enriquecido com vit. D",99,3.98,1.15,18.64,0,5
"Iogurte, de fruta, menos gordura, 10gramas de proteina para cada 8 embalagems/226,8 gramas, enriquecido com vit. D",102,4.37,1.08,19.05,0,4
"Iogurte, de frutas variadas, sem gordura, enriquecido com vit. D",95,4.4,0.2,19,0,2
"Iogurte, de fruta, menos gordura, enriquecido com vit. D",105,4.86,1.41,18.6,0,6
"Iogurte, de baunilha, menos gordura, 11 gramas de proteina para cada 8 embalagems/226,8 gramas, enriquecido com vit. D",85,4.93,1.25,13.8,0,5
"Iogurte, sabor de baunilha ou limao, sem gordura, adocado com adocante de baixa caloria",43,3.86,0.18,7.5,0,2
"Iogurte, de chocolate, sem gordura, enriquecido com vit. D",112,3.53,0,23.53,1.2,1
"Suplemento de proteina, a base de leite, Muscle Milk, em po",411,45.71,17.14,18.5,7.1,21
"Suplemento de proteina, a base de leite, Muscle Milk Light, em po",396,50,12,22,2,10
Doce de leite,315,6.84,7.35,55.35,0,29
"Ovo pasteurizado, liquido ou congelado, sem gordura",48,10,0,2,0,0
"Queijo, branco, seco",325,24.51,24.35,2.04,78
"Queijo, fresco",299,18.09,23.82,2.98,0,69
"Queijo, branco",310,20.38,24.31,2.53,70
"Leite, desnata, liquido, composto",62,3.21,3.31,4.88,0,11
"Iogurte, sabor baunilha, menos gordura, adocado com adocante de baixa caloria",86,4.93,1.25,13.8,0,5
"Iogurte, gelado, sabores exceto chocolate, sem gordura de leite, adocado com adocante de baixa caloria",104,4.4,0.8,19.7,2,4
"Sorvete, cremoso, chocolate",222,4.1,13,22.2,0.7,91
"Picole, cobertura de chocolate",331,4.1,24.1,24.5,0.8,28
Biscoito recheado com sorvete,237,4.29,8.57,37.14,0,21
Cookie recheado com sorvete,240,3.7,7.4,39.6,1.2,6
"Sorvete de casquinha, cobertura de chocolate, com nozes, diversos sabores exceto chocolate",354,5.21,21.88,34.38,1,21
"Biscoito recheado com sorvete,  feito com sorvete light, baunilha",186,4.29,3.04,39.64,0,7
"Biscoito recheado com sorvete, baunilha, light, sem acucar",200,5.71,2.86,42.86,7.1,21
"Sorvete, sem gordura ou acucar, diversos sabores exceto chocolate",129,4.41,0,27.94,7.4,0
"Suplemento alimentar para pessoas com diabetes, liquido",88,4.4,3.08,11.88,2.2,2
"Queijo, mexicano, dessalgado",358,23.54,28.51,1.75,0,95
"Produto de queijo, pasteurizado, “American”, enriquecido com vitamina D",310,18.18,22.63,8.52,0,79
"Queijo, pasteurizado, “American”, sem adicao de vitamina D",371,18.13,31.79,3.7,0,100
"Comida de queijo, pasteurizada, “American”, sem adicao de vitamina D",330,16.86,25.63,8.56,0,98
"Ovo, inteiro, cru, gelado, com sal",138,10.97,10.07,0.83,0,387
"Iogurte, grego, simples, sem gordura",59,10.19,0.39,3.6,0,5
"Ovo, clara, desidratada, estabilizada, pouco acucar",362,84.63,0.48,4.72,0,20
"Queijo, pasta, a base de Americano ou Cheddar, pouca gordura",176,13.41,8.88,10.71,0,38
"Queijo, cheddar, pouca gordura",309,27.35,20.41,4.06,0,76
"Sorvete, light, de massa, chocolate",141,3.36,3.69,23.15,0,15
"Sorvete, barra, picole ou pedacos, com cobertura crocante",358,2.11,25.26,37.12,1.1,16
"Queijo, cheddar, sem gordura",157,32.14,0,7.14,0,18
"Queijo, suico, sem gordura",127,28.4,0,3.4,0,18
"Queijo, cotija",366,20,30,3.97,0,100
"Queijo, muenster, baixo teor de gordura",271,24.7,17.6,3.5,0,63
"Queijo, mucarela, sem gordura",141,31.7,0,3.5,1.8,18
"Bebida, chocolate instantaneo, sem acucar",358,35.8,5.1,41,2,44
"Iogurte, variedade de frutas, sem gordura",95,4.4,0.2,19,0,2
